Trial	condition	Individual	direction	date	goal15	type	success	radians	Orientation of Setup	targetwidth	Target arc angle
1	0	11	NS	20120829	297.4323631	control	FALSE	0	East	0	0
2	0	12	NT	20120828	286.2564242	control	FALSE	0	North	0	0
3	0	13	NT	20120830	89.04267499	control	FALSE	0	North	0	0
4	0	16	NT	20120829	12.75524094	control	TRUE	0	North	0	0
5	0	17	NS	20120829	208.1518054	control	FALSE	0	East	0	0
6	0	18	ND	20120829	335.8802125	control	TRUE	0	West	0	0
7	0	19	NS	20120829	308.3876844	control	FALSE	0	East	0	0
8	0	20	NW	20120829	350.6537867	control	TRUE	0	South	0	0
9	0	21	NT	20120829	198.0201865	control	FALSE	0	North	0	0
10	0	22	NT	20120829	221.0615688	control	FALSE	0	North	0	0
11	0	23	NW	20120830	101.6759724	control	FALSE	0	South	0	0
12	0	24	ND	20120829	40.89415093	control	TRUE	0	West	0	0
13	0	25	NT	20120829	210.7623598	control	FALSE	0	North	0	0
14	0	26	NW	20120829	69.94886437	control	FALSE	0	South	0	0
15	0	27	NS	20120829	110.8786287	control	FALSE	0	East	0	0
16	0	28	ND	20120830	161.5301356	control	FALSE	0	West	0	0
17	0	29	NS	20120828	239.1184881	control	FALSE	0	East	0	0
18	0	32	ND	20120829	131.0771176	control	FALSE	0	West	0	0
19	0	33	ND	20120828	236.4299767	control	FALSE	0	West	0	0
20	0	3	NT	20120828	97.514635	control	FALSE	0	North	0	0
21	0	5	NW	20120828	22.11672782	control	TRUE	0	South	0	0
22	0	6	NS	20120828	243.6090654	control	FALSE	0	East	0	0
23	0	8	NW	20120829	282.4214966	control	FALSE	0	South	0	0
24	12.7	10	BT	20120710	312.4596034	dual bar	FALSE	0.221656815	North	12.7	6.4
25	12.7	11	BS	20120723	30.82238642	dual bar	TRUE	0.221656815	East	12.7	6.4
26	12.7	11	BW	20120710	7.123953894	dual bar	TRUE	0.221656815	South	12.7	6.4
27	12.7	11	BW	20120712	122.4320866	dual bar	FALSE	0.221656815	South	12.7	6.4
28	12.7	12	BD	20120724	217.4171807	dual bar	FALSE	0.221656815	West	12.7	6.4
29	12.7	12	BW	20120712	297.6048699	dual bar	FALSE	0.221656815	South	12.7	6.4
30	12.7	13	BD	20120710	279.6500456	dual bar	FALSE	0.221656815	West	12.7	6.4
31	12.7	13	BT	20120712	59.07175346	dual bar	FALSE	0.221656815	North	12.7	6.4
32	12.7	13	BW	20120724	313.3214375	dual bar	FALSE	0.221656815	South	12.7	6.4
33	12.7	3	BD	20120710	352.4503327	dual bar	TRUE	0.221656815	West	12.7	6.4
34	12.7	3	BS	20120712	324.9172217	dual bar	TRUE	0.221656815	East	12.7	6.4
35	12.7	3	BT	20120724	205.2530789	dual bar	FALSE	0.221656815	North	12.7	6.4
36	12.7	5	BD	20120712	304.7616298	dual bar	FALSE	0.221656815	West	12.7	6.4
37	12.7	5	BS	20120710	67.51249011	dual bar	FALSE	0.221656815	East	12.7	6.4
38	12.7	5	BT	20120724	279.1087813	dual bar	FALSE	0.221656815	North	12.7	6.4
39	12.7	6	BD	20120724	247.7561038	dual bar	FALSE	0.221656815	West	12.7	6.4
40	12.7	6	BS	20120710	207.8586114	dual bar	FALSE	0.221656815	East	12.7	6.4
